image_name,label,x_min,y_min,x_max,y_max
no_fall_1753351537956.png,no_fall,,,,
fall_1753351538879.png,fall,48,448,184,522
fall_1753351538901.png,fall,48,450,186,524
fall_1753351538926.png,fall,48,452,189,527
no_fall_1753351543962.png,no_fall,,,,
no_fall_1753351545962.png,no_fall,,,,
no_fall_1753351547964.png,no_fall,,,,
fall_1753351548139.png,fall,53,293,194,374
fall_1753351548164.png,fall,52,290,197,373
fall_1753351548193.png,fall,52,287,200,372
fall_1753351550839.png,fall,42,300,175,371
fall_1753351550865.png,fall,39,297,181,371
fall_1753351550892.png,fall,36,294,185,371
no_fall_1753351556006.png,no_fall,,,,
fall_1753351557073.png,fall,186,279,324,379
fall_1753351557099.png,fall,185,270,327,374
no_fall_1753351558012.png,no_fall,,,,
fall_1753351558607.png,fall,118,292,253,375
fall_1753351558632.png,fall,121,292,254,373
fall_1753351558659.png,fall,124,293,255,371
no_fall_1753351562033.png,no_fall,,,,
fall_1753351563004.png,fall,38,444,184,528
fall_1753351563029.png,fall,37,444,187,530
fall_1753351563059.png,fall,36,444,190,531
fall_1753351565171.png,fall,-7,443,147,529
fall_1753351565196.png,fall,-9,444,151,531
fall_1753351565226.png,fall,-11,444,154,533
no_fall_1753351570074.png,no_fall,,,,
fall_1753351570506.png,fall,114,298,240,370
fall_1753351570532.png,fall,113,296,243,370
fall_1753351570559.png,fall,113,293,247,369
no_fall_1753351574095.png,no_fall,,,,
no_fall_1753351576104.png,no_fall,,,,
fall_1753351576871.png,fall,131,300,255,371
fall_1753351576895.png,fall,130,298,258,371
fall_1753351576925.png,fall,129,295,261,370
no_fall_1753351580123.png,no_fall,,,,
no_fall_1753351582135.png,no_fall,,,,
no_fall_1753351584140.png,no_fall,,,,
no_fall_1753351586156.png,no_fall,,,,
no_fall_1753351588164.png,no_fall,,,,
no_fall_1753351590172.png,no_fall,,,,
no_fall_1753351592181.png,no_fall,,,,
no_fall_1753351594196.png,no_fall,,,,
no_fall_1753351596203.png,no_fall,,,,
no_fall_1753351598213.png,no_fall,,,,
no_fall_1753351600223.png,no_fall,,,,
no_fall_1753351602231.png,no_fall,,,,
no_fall_1753351604240.png,no_fall,,,,
fall_1753351604538.png,fall,-7,445,144,528
fall_1753351604564.png,fall,-10,447,149,534
fall_1753351604592.png,fall,-13,449,153,540
no_fall_1753351610272.png,no_fall,,,,
no_fall_1753351612282.png,no_fall,,,,
no_fall_1753351614293.png,no_fall,,,,
fall_1753351616105.png,fall,-32,447,117,525
fall_1753351616131.png,fall,-33,449,121,528
fall_1753351616159.png,fall,-34,451,123,529
no_fall_1753351622333.png,no_fall,,,,
no_fall_1753351624339.png,no_fall,,,,
no_fall_1753351626354.png,no_fall,,,,
fall_1753351627305.png,fall,76,450,207,522
fall_1753351627330.png,fall,75,451,210,523
fall_1753351627358.png,fall,73,450,214,525
no_fall_1753351630372.png,no_fall,,,,
no_fall_1753351632381.png,no_fall,,,,
no_fall_1753351634388.png,no_fall,,,,
fall_1753351635470.png,fall,173,443,305,531
fall_1753351635495.png,fall,171,443,307,534
fall_1753351635524.png,fall,170,444,310,538
no_fall_1753351636402.png,no_fall,,,,
no_fall_1753351638410.png,no_fall,,,,
no_fall_1753351640420.png,no_fall,,,,
no_fall_1753351642432.png,no_fall,,,,
no_fall_1753351644438.png,no_fall,,,,
no_fall_1753351646452.png,no_fall,,,,
no_fall_1753351648452.png,no_fall,,,,
no_fall_1753351650472.png,no_fall,,,,
no_fall_1753351652479.png,no_fall,,,,
no_fall_1753351654490.png,no_fall,,,,
no_fall_1753351656504.png,no_fall,,,,
no_fall_1753351658510.png,no_fall,,,,
fall_1753351658601.png,fall,123,447,252,524
fall_1753351658626.png,fall,122,447,256,526
fall_1753351658658.png,fall,120,447,259,528
no_fall_1753351660520.png,no_fall,,,,
no_fall_1753351662531.png,no_fall,,,,
no_fall_1753351664539.png,no_fall,,,,
no_fall_1753351666548.png,no_fall,,,,
no_fall_1753351668563.png,no_fall,,,,
no_fall_1753351670570.png,no_fall,,,,
no_fall_1753351672580.png,no_fall,,,,
no_fall_1753351674592.png,no_fall,,,,
no_fall_1753351676602.png,no_fall,,,,
fall_1753351677503.png,fall,6,446,150,524
fall_1753351677528.png,fall,6,448,152,526
fall_1753351677557.png,fall,7,449,155,527
no_fall_1753351682631.png,no_fall,,,,
no_fall_1753351684639.png,no_fall,,,,
fall_1753351685138.png,fall,87,449,217,522
fall_1753351685163.png,fall,87,450,221,522
fall_1753351685191.png,fall,86,451,223,523
no_fall_1753351688659.png,no_fall,,,,
no_fall_1753351690671.png,no_fall,,,,
fall_1753351690728.png,fall,-86,300,62,372
fall_1753351690757.png,fall,-89,297,67,371
fall_1753351690790.png,fall,-92,294,72,371
no_fall_1753351696697.png,no_fall,,,,
no_fall_1753351698707.png,no_fall,,,,
no_fall_1753351700718.png,no_fall,,,,
no_fall_1753351702729.png,no_fall,,,,
fall_1753351703902.png,fall,-37,447,110,522
fall_1753351703927.png,fall,-37,449,113,523
fall_1753351703957.png,fall,-37,451,116,523
no_fall_1753351708759.png,no_fall,,,,
no_fall_1753351710769.png,no_fall,,,,
no_fall_1753351712778.png,no_fall,,,,
no_fall_1753351714790.png,no_fall,,,,
no_fall_1753351716801.png,no_fall,,,,
no_fall_1753351718806.png,no_fall,,,,
no_fall_1753351720821.png,no_fall,,,,
fall_1753351721271.png,fall,71,445,210,526
fall_1753351721295.png,fall,71,446,212,527
fall_1753351721323.png,fall,72,447,215,528
no_fall_1753351724837.png,no_fall,,,,
no_fall_1753351726847.png,no_fall,,,,
no_fall_1753351728858.png,no_fall,,,,
fall_1753351729571.png,fall,30,444,176,527
fall_1753351729596.png,fall,29,444,180,530
fall_1753351729624.png,fall,28,445,183,533
fall_1753351729656.png,fall,190,449,308,521
fall_1753351729689.png,fall,191,450,309,522
fall_1753351729723.png,fall,192,450,312,524
fall_1753351730403.png,fall,-73,450,75,522
fall_1753351730428.png,fall,-75,450,78,524
fall_1753351730457.png,fall,-76,451,82,527
no_fall_1753351736899.png,no_fall,,,,
no_fall_1753351738905.png,no_fall,,,,
no_fall_1753351740918.png,no_fall,,,,
no_fall_1753351742928.png,no_fall,,,,
no_fall_1753351744938.png,no_fall,,,,
no_fall_1753351746948.png,no_fall,,,,
no_fall_1753351748957.png,no_fall,,,,
no_fall_1753351750971.png,no_fall,,,,
no_fall_1753351752976.png,no_fall,,,,
no_fall_1753351754987.png,no_fall,,,,
no_fall_1753351756999.png,no_fall,,,,
no_fall_1753351759005.png,no_fall,,,,
no_fall_1753351761020.png,no_fall,,,,
fall_1753351761600.png,fall,-36,291,122,377
fall_1753351761626.png,fall,-37,290,126,376
fall_1753351761656.png,fall,-38,289,129,375
fall_1753351766801.png,fall,-70,298,78,371
fall_1753351766826.png,fall,-72,296,81,371
fall_1753351766856.png,fall,-73,294,85,370
no_fall_1753351773075.png,no_fall,,,,
no_fall_1753351775086.png,no_fall,,,,
no_fall_1753351777097.png,no_fall,,,,
no_fall_1753351779105.png,no_fall,,,,
no_fall_1753351781118.png,no_fall,,,,
no_fall_1753351783127.png,no_fall,,,,
no_fall_1753351785128.png,no_fall,,,,
no_fall_1753351787145.png,no_fall,,,,
no_fall_1753351789156.png,no_fall,,,,
no_fall_1753351791166.png,no_fall,,,,
no_fall_1753351793175.png,no_fall,,,,
no_fall_1753351795184.png,no_fall,,,,
fall_1753351796869.png,fall,69,449,201,521
fall_1753351796896.png,fall,69,450,203,524
fall_1753351796924.png,fall,70,450,205,525
no_fall_1753351801218.png,no_fall,,,,
no_fall_1753351803226.png,no_fall,,,,
no_fall_1753351805237.png,no_fall,,,,
no_fall_1753351807246.png,no_fall,,,,
no_fall_1753351809256.png,no_fall,,,,
no_fall_1753351811269.png,no_fall,,,,
no_fall_1753351813273.png,no_fall,,,,
fall_1753351813504.png,fall,-8,449,131,520
fall_1753351813529.png,fall,-10,450,135,523
fall_1753351813555.png,fall,-11,450,139,525
no_fall_1753351819302.png,no_fall,,,,
fall_1753351819662.png,fall,145,298,269,371
fall_1753351819692.png,fall,146,298,270,369
fall_1753351819721.png,fall,146,296,273,370
no_fall_1753351821314.png,no_fall,,,,
no_fall_1753351823326.png,no_fall,,,,
no_fall_1753351825336.png,no_fall,,,,
no_fall_1753351827344.png,no_fall,,,,
no_fall_1753351829356.png,no_fall,,,,
no_fall_1753351831367.png,no_fall,,,,
no_fall_1753351833372.png,no_fall,,,,
no_fall_1753351835385.png,no_fall,,,,
fall_1753351835733.png,fall,37,445,182,527
fall_1753351835759.png,fall,37,446,183,528
fall_1753351835789.png,fall,38,447,186,528
no_fall_1753351839402.png,no_fall,,,,
no_fall_1753351841417.png,no_fall,,,,
fall_1753351841535.png,fall,28,297,167,373
fall_1753351841560.png,fall,28,294,170,371
fall_1753351841590.png,fall,28,291,172,370
no_fall_1753351845519.png,no_fall,,,,
no_fall_1753351847527.png,no_fall,,,,
fall_1753351848994.png,fall,-50,449,95,522
fall_1753351849020.png,fall,-51,450,99,525
fall_1753351849049.png,fall,-52,451,102,529
no_fall_1753351855577.png,no_fall,,,,
no_fall_1753351857581.png,no_fall,,,,
no_fall_1753351859585.png,no_fall,,,,
fall_1753351860218.png,fall,52,298,187,372
fall_1753351860255.png,fall,52,298,189,370
fall_1753351860283.png,fall,50,295,194,371
no_fall_1753351863607.png,no_fall,,,,
no_fall_1753351865629.png,no_fall,,,,
fall_1753351866019.png,fall,44,299,178,371
fall_1753351866053.png,fall,42,296,183,370
fall_1753351866083.png,fall,40,293,187,368
fall_1753351866188.png,fall,183,288,316,379
no_fall_1753351869639.png,no_fall,,,,
no_fall_1753351871649.png,no_fall,,,,
no_fall_1753351873654.png,no_fall,,,,
no_fall_1753351875674.png,no_fall,,,,
fall_1753351876490.png,fall,-41,447,109,526
fall_1753351876519.png,fall,-41,449,113,527
fall_1753351876549.png,fall,-42,450,115,527
no_fall_1753351881710.png,no_fall,,,,
fall_1753351883218.png,fall,134,439,277,535
fall_1753351883254.png,fall,133,439,280,536
fall_1753351883283.png,fall,132,440,283,538
no_fall_1753351885727.png,no_fall,,,,
fall_1753351886786.png,fall,171,449,293,524
fall_1753351886814.png,fall,170,451,295,525
fall_1753351886847.png,fall,170,453,298,527
no_fall_1753351887735.png,no_fall,,,,
fall_1753351888827.png,fall,-38,288,124,378
fall_1753351888852.png,fall,-39,286,126,377
fall_1753351888881.png,fall,-39,284,129,376
fall_1753351891763.png,fall,-30,299,113,372
fall_1753351891788.png,fall,-31,297,116,371
fall_1753351891814.png,fall,-31,295,118,370
fall_1753351897062.png,fall,81,299,212,372
fall_1753351897087.png,fall,79,297,215,370
fall_1753351897115.png,fall,77,296,219,369
fall_1753351898460.png,fall,-5,291,149,377
fall_1753351898485.png,fall,-8,288,152,376
fall_1753351898515.png,fall,-10,286,156,376
no_fall_1753351903847.png,no_fall,,,,
no_fall_1753351905877.png,no_fall,,,,
fall_1753351907293.png,fall,-17,447,129,524
fall_1753351907316.png,fall,-16,449,131,525
fall_1753351907348.png,fall,-14,450,134,524
no_fall_1753351911914.png,no_fall,,,,
no_fall_1753351913927.png,no_fall,,,,
no_fall_1753351915935.png,no_fall,,,,
no_fall_1753351917945.png,no_fall,,,,
no_fall_1753351919956.png,no_fall,,,,
no_fall_1753351921958.png,no_fall,,,,
fall_1753351923663.png,fall,199,296,320,373
no_fall_1753351923975.png,no_fall,,,,
no_fall_1753351925986.png,no_fall,,,,
no_fall_1753351927986.png,no_fall,,,,
no_fall_1753351930005.png,no_fall,,,,
no_fall_1753351932014.png,no_fall,,,,
no_fall_1753351934027.png,no_fall,,,,
no_fall_1753351936036.png,no_fall,,,,
fall_1753351937894.png,fall,5,299,143,370
fall_1753351937918.png,fall,4,297,146,370
fall_1753351937948.png,fall,3,295,150,371
fall_1753351938191.png,fall,166,445,294,527
fall_1753351938218.png,fall,166,445,296,527
fall_1753351938249.png,fall,166,446,298,529
fall_1753351940794.png,fall,-3,449,138,523
fall_1753351940819.png,fall,-2,450,141,522
fall_1753351940848.png,fall,-3,451,144,524
no_fall_1753351946086.png,no_fall,,,,
no_fall_1753351948090.png,no_fall,,,,
no_fall_1753351950104.png,no_fall,,,,
no_fall_1753351952115.png,no_fall,,,,
no_fall_1753351954126.png,no_fall,,,,
no_fall_1753351956133.png,no_fall,,,,
no_fall_1753351958146.png,no_fall,,,,
no_fall_1753351960157.png,no_fall,,,,
no_fall_1753351962162.png,no_fall,,,,
fall_1753351963563.png,fall,76,299,206,371
fall_1753351963587.png,fall,74,297,211,371
fall_1753351963615.png,fall,71,294,215,371
no_fall_1753351966186.png,no_fall,,,,
fall_1753351966218.png,fall,54,447,191,523
fall_1753351966258.png,fall,54,449,192,523
fall_1753351966281.png,fall,55,451,195,523
fall_1753351966687.png,fall,-79,443,85,529
fall_1753351966715.png,fall,-80,445,87,530
fall_1753351966747.png,fall,-80,447,90,530
no_fall_1753351972213.png,no_fall,,,,
no_fall_1753351974225.png,no_fall,,,,
no_fall_1753351976232.png,no_fall,,,,
fall_1753351978061.png,fall,42,448,180,524
fall_1753351978085.png,fall,44,450,181,523
fall_1753351978115.png,fall,45,451,183,524
no_fall_1753351982262.png,no_fall,,,,
no_fall_1753351984275.png,no_fall,,,,
no_fall_1753351986284.png,no_fall,,,,
no_fall_1753351988290.png,no_fall,,,,
no_fall_1753351990302.png,no_fall,,,,
no_fall_1753351992313.png,no_fall,,,,
fall_1753351993926.png,fall,75,295,212,375
fall_1753351993951.png,fall,76,294,215,374
fall_1753351993981.png,fall,77,293,216,373
fall_1753351996360.png,fall,48,449,185,524
fall_1753351996385.png,fall,47,449,188,527
fall_1753351996416.png,fall,47,449,188,527
no_fall_1753352000355.png,no_fall,,,,
no_fall_1753352002364.png,no_fall,,,,
no_fall_1753352004375.png,no_fall,,,,
fall_1753352005394.png,fall,45,448,182,523
fall_1753352005420.png,fall,47,450,182,523
fall_1753352005448.png,fall,49,452,183,524
no_fall_1753352010401.png,no_fall,,,,
no_fall_1753352012414.png,no_fall,,,,
fall_1753352012593.png,fall,96,444,235,528
fall_1753352012618.png,fall,98,445,236,528
fall_1753352012648.png,fall,100,446,237,529
no_fall_1753352016431.png,no_fall,,,,
no_fall_1753352018443.png,no_fall,,,,
fall_1753352020358.png,fall,36,297,175,373
fall_1753352020382.png,fall,36,296,176,373
fall_1753352020415.png,fall,37,294,178,371
fall_1753352023428.png,fall,-114,448,42,524
fall_1753352023452.png,fall,-114,450,46,528
fall_1753352023482.png,fall,-114,451,49,531
no_fall_1753352030503.png,no_fall,,,,
no_fall_1753352032515.png,no_fall,,,,
no_fall_1753352034524.png,no_fall,,,,
no_fall_1753352036522.png,no_fall,,,,
no_fall_1753352038541.png,no_fall,,,,
no_fall_1753352040555.png,no_fall,,,,
no_fall_1753352042565.png,no_fall,,,,
no_fall_1753352044572.png,no_fall,,,,
no_fall_1753352046583.png,no_fall,,,,
fall_1753352046618.png,fall,-14,297,127,370
fall_1753352046648.png,fall,-16,294,132,368
fall_1753352046680.png,fall,-18,292,137,367
no_fall_1753352052613.png,no_fall,,,,
no_fall_1753352054623.png,no_fall,,,,
no_fall_1753352056631.png,no_fall,,,,
no_fall_1753352058644.png,no_fall,,,,
no_fall_1753352060653.png,no_fall,,,,
no_fall_1753352062663.png,no_fall,,,,
no_fall_1753352064672.png,no_fall,,,,
no_fall_1753352066686.png,no_fall,,,,
no_fall_1753352068693.png,no_fall,,,,
no_fall_1753352070701.png,no_fall,,,,
no_fall_1753352072712.png,no_fall,,,,
no_fall_1753352074720.png,no_fall,,,,
no_fall_1753352076730.png,no_fall,,,,
no_fall_1753352078741.png,no_fall,,,,
fall_1753352080426.png,fall,7,297,149,373
fall_1753352080451.png,fall,8,297,152,371
fall_1753352080482.png,fall,8,297,155,369
no_fall_1753352084772.png,no_fall,,,,
no_fall_1753352086782.png,no_fall,,,,
no_fall_1753352088794.png,no_fall,,,,
no_fall_1753352090802.png,no_fall,,,,
fall_1753352091825.png,fall,-28,449,117,524
fall_1753352091851.png,fall,-29,450,119,528
fall_1753352091882.png,fall,-29,451,122,532
no_fall_1753352096829.png,no_fall,,,,
fall_1753352096925.png,fall,75,449,206,521
fall_1753352096950.png,fall,74,449,208,523
fall_1753352096982.png,fall,73,449,211,526
no_fall_1753352100852.png,no_fall,,,,
no_fall_1753352102863.png,no_fall,,,,
fall_1753352104728.png,fall,157,291,290,378
fall_1753352104753.png,fall,157,290,291,376
fall_1753352104781.png,fall,159,290,293,374
no_fall_1753352106881.png,no_fall,,,,
no_fall_1753352108893.png,no_fall,,,,
no_fall_1753352110899.png,no_fall,,,,
no_fall_1753352112911.png,no_fall,,,,
no_fall_1753352114922.png,no_fall,,,,
no_fall_1753352116939.png,no_fall,,,,
fall_1753352118528.png,fall,92,293,230,376
fall_1753352118552.png,fall,92,292,232,375
fall_1753352118582.png,fall,92,291,234,375
fall_1753352120097.png,fall,19,446,165,528
fall_1753352120122.png,fall,19,447,168,527
fall_1753352120148.png,fall,19,449,171,528
fall_1753352122796.png,fall,2,444,152,527
fall_1753352122820.png,fall,0,445,154,528
fall_1753352122848.png,fall,-1,446,158,529
no_fall_1753352127013.png,no_fall,,,,
no_fall_1753352129022.png,no_fall,,,,
no_fall_1753352131031.png,no_fall,,,,
no_fall_1753352133043.png,no_fall,,,,
no_fall_1753352135051.png,no_fall,,,,
fall_1753352136428.png,fall,-72,446,81,524
fall_1753352136453.png,fall,-70,449,83,524
fall_1753352136481.png,fall,-68,451,84,523
fall_1753352138664.png,fall,-107,449,45,522
