epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.876,0.82534,4.79362,0.76439,0.61505,0.79389,0.74025,0.55299,0.49579,7.5185,0.45265,0.000554594,0.000554594,0.000554594
2,441.404,0.78431,3.05613,0.76644,0.75854,0.8873,0.87484,0.63118,0.5011,4.32295,0.45267,0.0010553,0.0010553,0.0010553
3,621.236,0.82052,2.23323,0.78104,0.80701,0.90076,0.90363,0.73485,0.39303,2.8706,0.44092,0.001501,0.001501,0.001501
4,801.187,0.75736,1.7855,0.76321,0.82415,0.89438,0.90922,0.6931,0.46523,1.73778,0.44713,0.00141945,0.00141945,0.00141945
5,973.657,0.69311,1.49325,0.72763,0.76028,0.92366,0.86021,0.68818,0.40276,1.44761,0.43388,0.00133693,0.00133693,0.00133693
6,1146.02,0.69161,1.34055,0.73796,0.76211,0.9084,0.86726,0.69069,0.41973,1.66968,0.43199,0.00125442,0.00125442,0.00125442
7,1318.97,0.67144,1.19929,0.75593,0.92028,0.89313,0.95032,0.74806,0.40388,1.41289,0.43028,0.0011719,0.0011719,0.0011719
8,1484.89,0.67288,1.02494,0.75113,0.87172,0.91603,0.94914,0.79554,0.35723,0.88606,0.42402,0.00108938,0.00108938,0.00108938
9,1657.25,0.64522,1.03963,0.7459,0.85562,0.95002,0.94404,0.71936,0.45274,1.68831,0.43666,0.00100687,0.00100687,0.00100687
10,1823.5,0.61528,1.01885,0.74414,0.87514,0.9084,0.95347,0.81643,0.32085,0.9397,0.41642,0.000924352,0.000924352,0.000924352
11,1989.68,0.49787,0.79694,0.64767,0.92807,0.9849,0.96923,0.81175,0.34166,0.67224,0.42203,0.000841835,0.000841835,0.000841835
12,2149.88,0.48117,0.76805,0.6435,0.91122,0.9771,0.9654,0.83449,0.29381,0.94998,0.41429,0.000759318,0.000759318,0.000759318
13,2308.57,0.48201,0.74725,0.64451,0.9281,0.98537,0.97381,0.8334,0.33361,0.86375,0.41932,0.000676802,0.000676802,0.000676802
14,2467.72,0.46991,0.73726,0.63242,0.91341,0.9771,0.96283,0.86531,0.25944,0.86701,0.41112,0.000594286,0.000594286,0.000594286
15,2626.15,0.41915,0.66641,0.61857,0.92714,0.96947,0.96032,0.79764,0.36284,1.14854,0.42206,0.000511769,0.000511769,0.000511769
16,2785.05,0.42402,0.60786,0.61826,0.92588,0.95353,0.96467,0.8453,0.29789,0.96962,0.41304,0.000429253,0.000429253,0.000429253
17,2944.04,0.42427,0.58194,0.64084,0.92686,0.96737,0.9755,0.79854,0.3831,0.86396,0.42257,0.000346736,0.000346736,0.000346736
18,3106.83,0.41721,0.58727,0.63895,0.93638,0.96947,0.97441,0.84952,0.30157,0.86024,0.41239,0.00026422,0.00026422,0.00026422
19,3279.77,0.37402,0.61187,0.6092,0.94718,0.95829,0.97831,0.86343,0.26721,0.76049,0.4086,0.000181703,0.000181703,0.000181703
20,3451.9,0.3766,0.56764,0.63185,0.95412,0.95242,0.98202,0.85647,0.29198,0.59537,0.40984,9.91865e-05,9.91865e-05,9.91865e-05
